sourceId;lat;lon;elev;value;prid;dqc
METSN12648:0;61.1145;10.4675;210;2.4;1;0
METSN29350:0;60.255;8.7057;648;-0.2;1;0
METSN87640:0;68.8029;16.5362;45;-0.2;1;0
METSN32220:0;59.5022;8.9837;1102;-1;1;0
METSN47498:0;59.6625;5.9538;8;6.6;1;0
METSN42930:0;58.9112;6.8112;920;-0.4;1;0
METSN87772:0;68.5863;16.3608;1095;-9.4;1;0
METSN79600:0;66.3643;14.3015;70;0.3;1;0
METSN82000:0;67.1658;15.4857;7;-0.8;1;0
METSN80102:0;66.3705;12.611;10;3.7;1;0
METSN80707:0;66.8303;13.9067;930;-4.7;1;0
METSN63420:0;62.6785;8.5473;6;9.6;1;0
METSN96310:0;71.033;27.8298;13;-7.8;1;0
METSN92860:0;70.1728;22.3413;560;-11.3;1;0
METSN27330:0;59.2938;10.2983;33;3.4;1;0
METSN55430:0;61.6595;7.2762;305;1.8;1;0
METSN67140:0;63.3403;10.2973;48;6.1;1;0
METSN60190:0;62.3065;6.849;1050;0.8;1;0
METSN77490:0;65.3143;13.4483;940;-3;1;0
METSN60990:0;62.5617;6.115;22;7.1;1;0
METSN64330:0;63.1093;7.8158;62;8.3;1;0
METSN40880:0;59.5766;7.3897;841;1.1;1;0
METSN69010:0;63.3188;10.648;285;4;1;0
METSN41480:0;58.6172;7.4128;268;2;1;0
METSN68120:0;63.3628;10.3597;135;6;1;0
METSN60810:0;62.5158;6.8717;625;2.6;1;0
METSN40250:0;59.1972;7.5273;308;1.2;1;0
METSN13420:0;61.6513;10.1082;930;-1.3;1;0
METSN89985:0;69.1025;19.5442;1074;-12.3;1;0
METSN60400:0;62.2477;7.2392;28;9.6;1;0
METSN15890:0;62.0162;7.6637;872;1;1;0
METSN27161:0;59.3845;10.3985;40;4.2;1;0
METSN18700:0;59.9423;10.72;94;4.4;1;0
METSN29950:0;58.9688;10.148;15;6.5;1;0
METSN96850:0;70.2122;28.159;32;-9.9;1;0
METSN57340:0;61.4573;6.096;980;-0.7;1;0
METSN30810:0;59.7238;9.0245;191;1.9;1;0
METSN68262:0;63.3064;10.4657;143;6;1;0
METSN88100:0;68.6457;18.2442;230;-5.3;1;0
METSN30255:0;59.08723;9.66036;100;5.1;1;0
METSN24890:0;60.567;9.1323;166;-2.5;1;0
METSN52860:0;61.0272;5.3813;38;5.9;1;0
METSN76330:0;65.4567;12.2182;9;5.6;1;0
METSN90490:0;69.6767;18.9133;8;-2.8;1;0
METSN63820:0;62.4473;9.5827;680;2.2;1;0
METSN32240:0;59.4175;9.0287;105;2.6;1;0
METSN97710:0;69.3003;25.346;591;-14.1;1;0
METSN7950:0;61.1847;11.3747;255;0.9;1;0
METSN68010:0;63.4465;10.3364;44;6.7;1;0
METSN226700:0;63.41167;18.97972;108;-1.4;2;0
METSN222100:0;63.83972;13.50389;717;-1.4;2;0
METSN221000:0;63.18639;12.17611;1090;-1.9;2;0
METSN211000:0;65.32806;15.06889;577;-4.5;2;0
METSN203100:0;68.07472;19.83944;494;-12;2;0
METSN226900:0;63.18861;19.02056;11;-0.3;2;0
METSN255200:0;58.07194;15.23611;197;3.1;2;0
METSN257400:0;58.58278;16.14694;41;3.6;2;0
METSN212100:0;66.68167;16.10889;614;-8.1;2;0
METSN224300:0;63.68389;16.95;219;-0.3;2;0
METSN229700:0;64.48139;21.57917;40;-4.5;2;0
METSN255000:0;57.75139;14.06917;220;3.2;2;0
METSN26350:0;60.1358;9.4391;143;0;2;0
METSN250700:0;58.66083;11.41778;80;4.6;2;0
METSN230800:0;62.45028;12.67028;723;0;2;0
METSN210300:0;65.78;15.06444;793;-6.6;2;0
METSN261500:0;55.38361;12.81667;2;6;2;0
METSN267000:0;56.68333;16.3;6;4.9;2;0
METSN210100:0;65.80611;15.08278;458;-2.7;2;0
METSN222600:0;63.19556;14.50028;375;0.8;2;0
METSN220700:0;63.28278;12.12194;583;2.3;2;0
METSN203600:0;67.85417;19.02556;467;-11.5;2;0
